USER,POST,EXT,NEU,AGR,CON,OPN
02ae95de-7ee3-453a-978d-25d28b3f1a88,"Things I want for my business cards but are too expensive: 3 PMS colors. colored edges, soft touch finish, raised spot UV, cut 45°corners.		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"""painters produced their most highly valued work when they were 41.92 years old""
http://t.co/T8Gvom70GE

So... I've 15 years left for mine?		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username your new discussion layout is confusing regarding who says what, because the comments aren't sectioned off. http://t.co/Dfkg4js2o2		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,I never really understood why game environments (which you see most of) get so few resources compared to characters. https://t.co/3Af3fn7XVe		,0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username 20k and 2048² on a gun, fine. But throwing the same on an enemy that you try to shoot before he gets too close?		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Guns using the texture already in memory is good. Guns on the floor having the same model as FPS isn't. Probably LOD models.		,0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,@username I'm talking about chars that are small scale compared to enviro props. Extreme example: http://t.co/HOR8W8T2Pr 30~40tri scene		,0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,@username Dammit Crendor. You broke Jesse's game and made the audio go *poof*. Totally your fault.		,0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username @username I liken Esther to a movie. You can choose to progress or not, but not affect much else. But really, grey area.		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"Gamers unfazed, Sale has arrived!
The tiniest prices, finest of prizes.
Gaben be Praised, Discounts shall thrive! http://t.co/tVbSgnvo1e		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"Indie gamedev: I don't want to be bound by publishers and marketing-tests.
Indy gamedev: Games are an artform! They belong in a museum!		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,"@username @username @username 25 mbit here (get 22~23), for €10 in the Netherlands. Previous contract since '08 or '09 was €25, same speed.		",0.2,-0.2,0.1,0.1,0.5
02ae95de-7ee3-453a-978d-25d28b3f1a88,@username On the flipside: half games for half prices...		,0.2,-0.2,0.1,0.1,0.5
