USER,POST,EXT,NEU,AGR,CON,OPN,TOKENS
02ae95de-7ee3-453a-978d-25d28b3f1a88,thing I want for my business card but be too expensive 3 pm color color edge soft touch finish raise spot uv cut 45 ° corner,0.7,0.3,0.6,0.6,1.0,"['thing', 'I', 'want', 'for', 'my', 'business', 'card', 'but', 'be', 'too', 'expensive', '3', 'pm', 'color', 'color', 'edge', 'soft', 'touch', 'finish', 'raise', 'spot', 'uv', 'cut', '45', '°', 'corner']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,painter produce their most highly value work when they be 41 92 year old so I have 15 year leave for mine,0.7,0.3,0.6,0.6,1.0,"['painter', 'produce', 'their', 'most', 'highly', 'value', 'work', 'when', 'they', 'be', '41', '92', 'year', 'old', 'so', 'I', 'have', '15', 'year', 'leave', 'for', 'mine']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username your new discussion layout be confusing regard who say what because the comment be not section off,0.7,0.3,0.6,0.6,1.0,"['username', 'your', 'new', 'discussion', 'layout', 'be', 'confusing', 'regard', 'who', 'say', 'what', 'because', 'the', 'comment', 'be', 'not', 'section', 'off']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,I never really understand why game environment which you see most of get so few resource compare to character,0.7,0.3,0.6,0.6,1.0,"['I', 'never', 'really', 'understand', 'why', 'game', 'environment', 'which', 'you', 'see', 'most', 'of', 'get', 'so', 'few', 'resource', 'compare', 'to', 'character']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username 20k and 2048² on a gun fine but throw the same on an enemy that you try to shoot before he get too close,0.7,0.3,0.6,0.6,1.0,"['username', '20k', 'and', '2048²', 'on', 'a', 'gun', 'fine', 'but', 'throw', 'the', 'same', 'on', 'an', 'enemy', 'that', 'you', 'try', 'to', 'shoot', 'before', 'he', 'get', 'too', 'close']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username gun use the texture already in memory be good gun on the floor have the same model as fps be not probably lod model,0.7,0.3,0.6,0.6,1.0,"['username', 'gun', 'use', 'the', 'texture', 'already', 'in', 'memory', 'be', 'good', 'gun', 'on', 'the', 'floor', 'have', 'the', 'same', 'model', 'as', 'fps', 'be', 'not', 'probably', 'lod', 'model']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username I be talk about char that be small scale compare to enviro prop extreme example 30 40tri scene,0.7,0.3,0.6,0.6,1.0,"['username', 'I', 'be', 'talk', 'about', 'char', 'that', 'be', 'small', 'scale', 'compare', 'to', 'enviro', 'prop', 'extreme', 'example', '30', '40tri', 'scene']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username dammit crendor you break jesse s game and make the audio go poof totally your fault,0.7,0.3,0.6,0.6,1.0,"['username', 'dammit', 'crendor', 'you', 'break', 'jesse', 's', 'game', 'and', 'make', 'the', 'audio', 'go', 'poof', 'totally', 'your', 'fault']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,username username I liken esther to a movie you can choose to progress or not but not affect much else but really grey area,0.7,0.3,0.6,0.6,1.0,"['username', 'username', 'I', 'liken', 'esther', 'to', 'a', 'movie', 'you', 'can', 'choose', 'to', 'progress', 'or', 'not', 'but', 'not', 'affect', 'much', 'else', 'but', 'really', 'grey', 'area']"
02ae95de-7ee3-453a-978d-25d28b3f1a88,gamer unfazed sale have arrive the tiny price fine of prize gaben be praise discount shall thrive,0.7,0.3,0.6,0.6,1.0,"['gamer', 'unfazed', 'sale', 'have', 'arrive', 'the', 'tiny', 'price', 'fine', 'of', 'prize', 'gaben', 'be', 'praise', 'discount', 'shall', 'thrive']"
